iata_code,icao_code,name,country,state,city,elevation,lat,lon,timezone
ICY,19AK,Icy Bay Airport,Alaska,US,Icy Bay,50,-141.66,59.97,America/Anchorage
HGZ,2AK6,Hog River Airport,Alaska,US,Hogatza,534,-155.67,66.22,America/Anchorage
BYW,38WA,Blakely Island Airport,Washington,US,Blakely Island,66,-122.83,48.58,America/Los_Angeles
BDF,3IS8,Rinkenberger Restricted Landing Area,Illinois,US,Bradford,808,-89.62,41.23,America/Chicago
BCS,65LA,Southern Seaplane Airport,Louisiana,US,Belle Chasse,0,-90.02,29.87,America/Chicago
BWL,6OK6,Earl Henry Airport,Oklahoma,US,Blackwell,1054,-97.32,36.80,America/Chicago
DUF,7NC2,Pine Island Airport,North Carolina,US,Corolla,16,-75.79,36.25,America/New_York
FOB,82CL,Fort Bragg Airport,California,US,Fort Bragg,71,-123.80,39.47,America/Los_Angeles
ALX,ADDE,Thomas C Russell Field,Alabama,US,Alexander City,686,-85.96,32.91,America/Chicago
AFT,AGAF,Afutara Aerodrome,Malaita,SB,Bila,23,160.95,-9.19,Pacific/Guadalcanal
RNA,AGAR,Ulawa Airport,"",SB,Arona,40,161.98,-9.86,Pacific/Guadalcanal
ATD,AGAT,Uru Harbour Airport,"",SB,Atoifi,0,161.01,-8.87,Pacific/Guadalcanal
VEV,AGBA,Barakoma Airport,"",SB,Barakoma,0,156.71,-7.91,Pacific/Guadalcanal
BPF,AGBT,Batuna Aerodrome,Western Province,SB,Batuna Mission Station,24,158.12,-8.56,Pacific/Guadalcanal
GEF,AGEV,Geva Airport,"",SB,Liangia,0,156.60,-7.58,Pacific/Guadalcanal
AKS,AGGA,Auki Airport,"",SB,Auki,5,160.68,-8.70,Pacific/Guadalcanal
BNY,AGGB,Bellona/Anua Airport,"",SB,Anua,60,159.80,-11.30,Pacific/Guadalcanal
CHY,AGGC,Choiseul Bay Airport,Choiseul,SB,"",0,156.40,-6.71,Pacific/Guadalcanal
BAS,AGGE,Ballalae Airport,"",SB,Ballalae,5,155.89,-6.99,Pacific/Guadalcanal
FRE,AGGF,Fera/Maringe Airport,Isabel,SB,Fera Island,0,159.58,-8.11,Pacific/Guadalcanal
HIR,AGGH,Honiara International Airport,Guadalcanal,SB,Honiara,28,160.05,-9.43,Pacific/Guadalcanal
MBU,AGGI,Babanakira Airport,Guadalcanal,SB,Mbambanakira,0,159.84,-9.75,Pacific/Guadalcanal
AVU,AGGJ,Avu Avu Airport,Guadalcanal,SB,"",25,160.41,-9.87,Pacific/Guadalcanal
IRA,AGGK,Ngorangora Airport,"",SB,Kirakira,0,161.90,-10.45,Pacific/Guadalcanal
SCZ,AGGL,Santa Cruz/Graciosa Bay/Luova Airport,Temotu,SB,Santa Cruz/Graciosa Bay/Luova,18,165.79,-10.72,Pacific/Guadalcanal
MUA,AGGM,Munda Airport,"",SB,"",10,157.26,-8.33,Pacific/Guadalcanal
